"","X","n","p","l","t1","t2"
"1",1,10,0.7,1,0.00385629415512085,0.0013611626625061
"2",2,10,0.7,2,0.00370433568954468,0.00192423582077026
"3",3,10,0.7,3,0.00378738403320313,0.00254837512969971
"4",4,10,0.7,4,0.00370263814926147,0.00285630702972412
"5",5,10,0.7,5,0.00364407062530518,0.0033523964881897
"6",6,10,0.8,1,0.00402190685272217,0.00136296510696411
"7",7,10,0.8,2,0.00389495134353638,0.00205548286437988
"8",8,10,0.8,3,0.0039032793045044,0.00276569366455078
"9",9,10,0.8,4,0.00403793573379517,0.00335822105407715
"10",10,10,0.8,5,0.00409384489059448,0.00387666940689087
"11",11,10,0.9,1,0.00538064002990723,0.00189688920974731
"12",12,10,0.9,2,0.0062763237953186,0.00286057233810425
"13",13,10,0.9,3,0.00520740985870361,0.003903489112854
"14",14,10,0.9,4,0.00521958589553833,0.00502044916152954
"15",15,10,0.9,5,0.00546625375747681,0.00575527429580688
"16",16,10,1,1,0.00512106895446777,0.00252660751342773
"17",17,10,1,2,0.00516852140426636,0.00396748542785645
"18",18,10,1,3,0.0051261305809021,0.00551567077636719
"19",19,10,1,4,0.00510003805160522,0.00697106122970581
"20",20,10,1,5,0.00517904043197632,0.00846006870269775
"21",21,10,1.1,1,0.00602227926254272,0.00253231763839722
"22",22,10,1.1,2,0.00614560127258301,0.00501598119735718
"23",23,10,1.1,3,0.00574026107788086,0.00554707527160645
"24",24,10,1.1,4,0.00659672975540161,0.00676021814346313
"25",25,10,1.1,5,0.00551785469055176,0.00825504779815674
"26",26,10,1.2,1,0.00552349090576172,0.00237686157226563
"27",27,10,1.2,2,0.00575308561325073,0.00409448385238647
"28",28,10,1.2,3,0.00583472490310669,0.00579748392105103
"29",29,10,1.2,4,0.0056752872467041,0.00753422737121582
"30",30,10,1.2,5,0.0060378885269165,0.00921668767929077
"31",31,10,1.3,1,0.00660200834274292,0.00314188957214355
"32",32,10,1.3,2,0.00585788011550903,0.00489102840423584
"33",33,10,1.3,3,0.00559810638427734,0.00691290855407715
"34",34,10,1.3,4,0.00614354372024536,0.00860388278961182
"35",35,10,1.3,5,0.00708672523498535,0.0103117966651916
"36",36,10,1.4,1,0.00642795324325562,0.00295739889144897
"37",37,10,1.4,2,0.00591395378112793,0.00544213056564331
"38",38,10,1.4,3,0.00609653472900391,0.00716822385787964
"39",39,10,1.4,4,0.00672217607498169,0.0106419205665588
"40",40,10,1.4,5,0.006627357006073,0.0131895184516907
"41",41,10,1.5,1,0.00602065086364746,0.00300249576568603
"42",42,10,1.5,2,0.0064246940612793,0.00575332403182983
"43",43,10,1.5,3,0.00620007753372192,0.00822860717773437
"44",44,10,1.5,4,0.00634528160095215,0.0107709860801697
"45",45,10,1.5,5,0.00641963481903076,0.0151188611984253
"46",46,10,1.6,1,0.00638207197189331,0.00344391822814941
"47",47,10,1.6,2,0.00674694299697876,0.00633380174636841
"48",48,10,1.6,3,0.00614701271057129,0.0100452661514282
"49",49,10,1.6,4,0.00643515586853027,0.0118175959587097
"50",50,10,1.6,5,0.00681745052337646,0.0141990327835083
"51",51,10,1.7,1,0.00669441699981689,0.00422791957855225
"52",52,10,1.7,2,0.00635887145996094,0.00774606227874756
"53",53,10,1.7,3,0.00618200540542603,0.010399022102356
"54",54,10,1.7,4,0.00677753925323486,0.0136664223670959
"55",55,10,1.7,5,0.00770559787750244,0.016449511051178
"56",56,10,1.8,1,0.00666934013366699,0.0042033576965332
"57",57,10,1.8,2,0.0067851710319519,0.00821708917617798
"58",58,10,1.8,3,0.00668912649154663,0.0125763058662415
"59",59,10,1.8,4,0.00705135107040405,0.0159917712211609
"60",60,10,1.8,5,0.00661928176879883,0.0205730819702148
"61",61,10,1.9,1,0.00665591478347778,0.00509090185165405
"62",62,10,1.9,2,0.00703324794769287,0.00907517433166504
"63",63,10,1.9,3,0.00692985057830811,0.0134562635421753
"64",64,10,1.9,4,0.00672591924667358,0.0181278800964355
"65",65,10,1.9,5,0.00691777229309082,0.023362090587616
"66",66,10,2,1,0.00704914093017578,0.0052088189125061
"67",67,10,2,2,0.00682188987731934,0.0104194211959839
"68",68,10,2,3,0.00702629089355469,0.0158267140388489
"69",69,10,2,4,0.00701898336410522,0.0213500475883484
"70",70,10,2,5,0.0069903826713562,0.026471152305603
"71",71,20,0.7,1,0.00928894519805908,0.00195445537567139
"72",72,20,0.7,2,0.0102215909957886,0.00304499864578247
"73",73,20,0.7,3,0.00917951822280884,0.00417637348175049
"74",74,20,0.7,4,0.00943341732025147,0.00541468620300293
"75",75,20,0.7,5,0.00925980806350708,0.00659653902053833
"76",76,20,0.8,1,0.0111787629127502,0.00248449087142944
"77",77,20,0.8,2,0.0112541890144348,0.00409258842468262
"78",78,20,0.8,3,0.0114043951034546,0.00584323406219482
"79",79,20,0.8,4,0.011436128616333,0.00709668159484863
"80",80,20,0.8,5,0.0121895909309387,0.0102643847465515
"81",81,20,0.9,1,0.015705783367157,0.00412362337112427
"82",82,20,0.9,2,0.0158443117141724,0.00708909749984741
"83",83,20,0.9,3,0.0160622620582581,0.0097886848449707
"84",84,20,0.9,4,0.0162497210502625,0.0124679279327393
"85",85,20,0.9,5,0.0170861148834229,0.0150153827667236
"86",86,20,1,1,0.0223191857337952,0.0108967328071594
"87",87,20,1,2,0.0232030916213989,0.0209421539306641
"88",88,20,1,3,0.023952260017395,0.0306790947914124
"89",89,20,1,4,0.0241192197799683,0.0385464215278625
"90",90,20,1,5,0.023669536113739,0.0471145367622375
"91",91,20,1.1,1,0.0260061860084534,0.00938607692718506
"92",92,20,1.1,2,0.0247918438911438,0.0164086103439331
"93",93,20,1.1,3,0.0246128606796265,0.0233534336090088
"94",94,20,1.1,4,0.0259504580497742,0.0327529764175415
"95",95,20,1.1,5,0.0250582718849182,0.0394427371025085
"96",96,20,1.2,1,0.0260490322113037,0.00872756481170654
"97",97,20,1.2,2,0.0266541910171509,0.0169948053359985
"98",98,20,1.2,3,0.0246217751502991,0.0240067839622498
"99",99,20,1.2,4,0.0262628865242004,0.0343591332435608
"100",100,20,1.2,5,0.0258216047286987,0.0453608632087708
"101",101,20,1.3,1,0.0272266459465027,0.00974706172943115
"102",102,20,1.3,2,0.0269730401039124,0.0179325556755066
"103",103,20,1.3,3,0.0269917321205139,0.0277917385101318
"104",104,20,1.3,4,0.0268616485595703,0.0382393288612366
"105",105,20,1.3,5,0.0269972085952759,0.0507757782936096
"106",106,20,1.4,1,0.0265649890899658,0.0107832384109497
"107",107,20,1.4,2,0.0277868127822876,0.0204550528526306
"108",108,20,1.4,3,0.0269456601142883,0.0341733956336975
"109",109,20,1.4,4,0.0265137028694153,0.045273232460022
"110",110,20,1.4,5,0.0290147113800049,0.0610889935493469
"111",111,20,1.5,1,0.0301457381248474,0.0125119233131409
"112",112,20,1.5,2,0.0290352439880371,0.0234644484519958
"113",113,20,1.5,3,0.0292507243156433,0.040676600933075
"114",114,20,1.5,4,0.0280933594703674,0.0525744962692261
"115",115,20,1.5,5,0.0289449620246887,0.0674471831321716
"116",116,20,1.6,1,0.0304036450386047,0.0163176679611206
"117",117,20,1.6,2,0.0315385365486145,0.0350078105926514
"118",118,20,1.6,3,0.0312374544143677,0.051831533908844
"119",119,20,1.6,4,0.0316113352775574,0.0710252642631531
"120",120,20,1.6,5,0.0336624550819397,0.0792144727706909
"121",121,20,1.7,1,0.0357405781745911,0.0203346371650696
"122",122,20,1.7,2,0.0342780804634094,0.0384962439537048
"123",123,20,1.7,3,0.0356293487548828,0.0606230664253235
"124",124,20,1.7,4,0.0348810601234436,0.0829765701293945
"125",125,20,1.7,5,0.0340463471412659,0.108608329296112
"126",126,20,1.8,1,0.0392819833755493,0.0256396102905273
"127",127,20,1.8,2,0.0384615731239319,0.0516574501991272
"128",128,20,1.8,3,0.0396663737297058,0.0843164324760437
"129",129,20,1.8,4,0.0411785268783569,0.112294199466705
"130",130,20,1.8,5,0.0411203479766846,0.144436304569244
"131",131,20,1.9,1,0.0422906541824341,0.0337895607948303
"132",132,20,1.9,2,0.0431831789016724,0.0632499265670776
"133",133,20,1.9,3,0.0439244484901428,0.0966360569000244
"134",134,20,1.9,4,0.0475975394248962,0.147639870643616
"135",135,20,1.9,5,0.0486234211921692,0.187824311256409
"136",136,20,2,1,0.0550131583213806,0.0424677419662476
"137",137,20,2,2,0.0589294242858887,0.09190678358078
"138",138,20,2,3,0.052282726764679,0.125045764446259
"139",139,20,2,4,0.05413654088974,0.1772776055336
"140",140,20,2,5,0.0551668524742126,0.237388205528259
"141",141,30,0.7,1,0.0175809097290039,0.00285341262817383
"142",142,30,0.7,2,0.0165862560272217,0.00496444702148438
"143",143,30,0.7,3,0.0163497233390808,0.00674195289611816
"144",144,30,0.7,4,0.0167732954025269,0.0082556939125061
"145",145,30,0.7,5,0.0171309304237366,0.01013108253479
"146",146,30,0.8,1,0.0215830159187317,0.00386370420455933
"147",147,30,0.8,2,0.0209341835975647,0.00668711423873901
"148",148,30,0.8,3,0.0205714321136475,0.00927597999572754
"149",149,30,0.8,4,0.0213060212135315,0.0123462557792664
"150",150,30,0.8,5,0.0212475872039795,0.0148355412483215
"151",151,30,0.9,1,0.0329543709754944,0.00712048768997192
"152",152,30,0.9,2,0.0314876246452332,0.0131885266304016
"153",153,30,0.9,3,0.0310305690765381,0.0179176139831543
"154",154,30,0.9,4,0.0321685862541199,0.0227747893333435
"155",155,30,0.9,5,0.0318232703208923,0.0275963997840881
"156",156,30,1,1,0.0618748259544373,0.0383799481391907
"157",157,30,1,2,0.0619966459274292,0.0646346044540405
"158",158,30,1,3,0.0640828919410706,0.104254064559937
"159",159,30,1,4,0.062411789894104,0.116047751903534
"160",160,30,1,5,0.0615502977371216,0.14226576089859
"161",161,30,1.1,1,0.0674390578269958,0.0243007898330688
"162",162,30,1.1,2,0.0658406734466553,0.0450868225097656
"163",163,30,1.1,3,0.0664825415611267,0.0728749799728394
"164",164,30,1.1,4,0.0688677787780762,0.0960252904891968
"165",165,30,1.1,5,0.067764744758606,0.129075756072998
"166",166,30,1.2,1,0.066668758392334,0.0215865325927734
"167",167,30,1.2,2,0.0658984279632568,0.0460255765914917
"168",168,30,1.2,3,0.070351254940033,0.067211000919342
"169",169,30,1.2,4,0.0666566610336304,0.104508991241455
"170",170,30,1.2,5,0.0722682476043701,0.128800859451294
"171",171,30,1.3,1,0.0715353083610535,0.0259192633628845
"172",172,30,1.3,2,0.069482626914978,0.0519450426101685
"173",173,30,1.3,3,0.0710853862762451,0.0847790193557739
"174",174,30,1.3,4,0.0684946632385254,0.107329721450806
"175",175,30,1.3,5,0.071951310634613,0.154845123291016
"176",176,30,1.4,1,0.0765881299972534,0.0302268505096436
"177",177,30,1.4,2,0.0790346956253052,0.0683497309684753
"178",178,30,1.4,3,0.0767278933525085,0.103296451568604
"179",179,30,1.4,4,0.0790939736366272,0.1433047914505
"180",180,30,1.4,5,0.0805661034584045,0.170602467060089
"181",181,30,1.5,1,0.0878508377075195,0.0381443667411804
"182",182,30,1.5,2,0.089812695980072,0.0889999580383301
"183",183,30,1.5,3,0.0914295339584351,0.129525656700134
"184",184,30,1.5,4,0.0916649770736694,0.173851730823517
"185",185,30,1.5,5,0.0939119839668274,0.228515963554382
"186",186,30,1.6,1,0.101960411071777,0.047831494808197
"187",187,30,1.6,2,0.105042569637299,0.105655801296234
"188",188,30,1.6,3,0.104836096763611,0.155180456638336
"189",189,30,1.6,4,0.10647971868515,0.236715009212494
"190",190,30,1.6,5,0.108298578262329,0.292652533054352
"191",191,30,1.7,1,0.12199126958847,0.0620963931083679
"192",192,30,1.7,2,0.122682456970215,0.136362223625183
"193",193,30,1.7,3,0.129900641441345,0.225669531822205
"194",194,30,1.7,4,0.124895324707031,0.311291811466217
"195",195,30,1.7,5,0.124957563877106,0.398492226600647
"196",196,30,1.8,1,0.150173106193542,0.088878870010376
"197",197,30,1.8,2,0.149662480354309,0.174216830730438
"198",198,30,1.8,3,0.150033388137817,0.286516556739807
"199",199,30,1.8,4,0.15266284942627,0.410221772193909
"200",200,30,1.8,5,0.158830599784851,0.533365659713745
"201",201,30,1.9,1,0.193786475658417,0.117328722476959
"202",202,30,1.9,2,0.201583516597748,0.271593799591064
"203",203,30,1.9,3,0.193184206485748,0.416353282928467
"204",204,30,1.9,4,0.190305106639862,0.56951245546341
"205",205,30,1.9,5,0.188333749771118,0.73290559053421
"206",206,30,2,1,0.234486136436462,0.150089776515961
"207",207,30,2,2,0.233620343208313,0.331672716140747
"208",208,30,2,3,0.237177636623383,0.538605642318726
"209",209,30,2,4,0.240618999004364,0.778699107170105
"210",210,30,2,5,0.250286967754364,1.02927226305008
"211",211,40,0.7,1,0.0248214435577393,0.00389516830444336
"212",212,40,0.7,2,0.0259721994400024,0.00646864652633667
"213",213,40,0.7,3,0.0258137440681458,0.0091618800163269
"214",214,40,0.7,4,0.0252203512191772,0.0116061663627625
"215",215,40,0.7,5,0.0252777552604675,0.0145681142807007
"216",216,40,0.8,1,0.0350155687332153,0.00612987279891968
"217",217,40,0.8,2,0.0345590138435364,0.0105101490020752
"218",218,40,0.8,3,0.0344203591346741,0.0153143048286438
"219",219,40,0.8,4,0.0347031688690186,0.0206672358512878
"220",220,40,0.8,5,0.0354189825057983,0.0231638598442078
"221",221,40,0.9,1,0.0564755797386169,0.0142436504364014
"222",222,40,0.9,2,0.0566419172286987,0.0248109221458435
"223",223,40,0.9,3,0.0583114361763,0.0357482433319092
"224",224,40,0.9,4,0.0578055667877197,0.0452798914909363
"225",225,40,0.9,5,0.058224310874939,0.0554894876480103
"226",226,40,1,1,0.133841633796692,0.0969168639183044
"227",227,40,1,2,0.135116231441498,0.182302248477936
"228",228,40,1,3,0.139823653697968,0.267700705528259
"229",229,40,1,4,0.134752631187439,0.333327748775482
"230",230,40,1,5,0.135674028396606,0.413569297790527
"231",231,40,1.1,1,0.14071183681488,0.0538832855224609
"232",232,40,1.1,2,0.141515855789185,0.0968459939956665
"233",233,40,1.1,3,0.141518528461456,0.160394732952118
"234",234,40,1.1,4,0.144139587879181,0.224278364181519
"235",235,40,1.1,5,0.146045663356781,0.291058146953583
"236",236,40,1.2,1,0.14687700510025,0.0497746872901917
"237",237,40,1.2,2,0.15220737695694,0.113675611019135
"238",238,40,1.2,3,0.150246613025665,0.155627806186676
"239",239,40,1.2,4,0.150163087844849,0.243668925762177
"240",240,40,1.2,5,0.14740309715271,0.297432498931885
"241",241,40,1.3,1,0.168636820316315,0.0573100829124451
"242",242,40,1.3,2,0.169352324008942,0.124930489063263
"243",243,40,1.3,3,0.171206848621368,0.200393714904785
"244",244,40,1.3,4,0.170850422382355,0.283277578353882
"245",245,40,1.3,5,0.173691473007202,0.387568581104279
"246",246,40,1.4,1,0.194216148853302,0.0695255136489868
"247",247,40,1.4,2,0.197732303142548,0.158341519832611
"248",248,40,1.4,3,0.198899652957916,0.258545520305634
"249",249,40,1.4,4,0.196853973865509,0.359194111824036
"250",250,40,1.4,5,0.201907324790955,0.485708174705505
"251",251,40,1.5,1,0.236557273864746,0.0940120768547058
"252",252,40,1.5,2,0.236213631629944,0.21086861371994
"253",253,40,1.5,3,0.235294940471649,0.343273706436157
"254",254,40,1.5,4,0.238715476989746,0.464434645175934
"255",255,40,1.5,5,0.237935209274292,0.623040819168091
"256",256,40,1.6,1,0.269246542453766,0.128681337833405
"257",257,40,1.6,2,0.285270154476166,0.280092077255249
"258",258,40,1.6,3,0.284141211509705,0.448746263980865
"259",259,40,1.6,4,0.297442920207977,0.606720750331879
"260",260,40,1.6,5,0.29719051361084,0.836118278503418
"261",261,40,1.7,1,0.361107475757599,0.175496892929077
"262",262,40,1.7,2,0.366183080673218,0.390855250358582
"263",263,40,1.7,3,0.373207108974457,0.621098251342773
"264",264,40,1.7,4,0.387657172679901,0.899127659797669
"265",265,40,1.7,5,0.379813079833984,1.07439665555954
"266",266,40,1.8,1,0.447732179164887,0.21965185880661
"267",267,40,1.8,2,0.47271591424942,0.553399159908295
"268",268,40,1.8,3,0.480845928192139,0.843404543399811
"269",269,40,1.8,4,0.496785080432892,1.17317743778229
"270",270,40,1.8,5,0.493364942073822,1.53495669841766
"271",271,40,1.9,1,0.606205520629883,0.341115665435791
"272",272,40,1.9,2,0.61673100233078,0.764579725265503
"273",273,40,1.9,3,0.628003442287445,1.20953934431076
"274",274,40,1.9,4,0.641645560264587,1.69061026334763
"275",275,40,1.9,5,0.652265820503235,2.28219745159149
"276",276,40,2,1,0.818323135375977,0.497778017520905
"277",277,40,2,2,0.838360643386841,1.09076645374298
"278",278,40,2,3,0.854024791717529,1.67543822526932
"279",279,40,2,4,0.878399078845978,2.37678369283676
"280",280,40,2,5,0.877863616943359,3.08653406143188
"281",281,50,0.7,1,0.0333058285713196,0.00563876390457153
"282",282,50,0.7,2,0.0338101816177368,0.00810732126235962
"283",283,50,0.7,3,0.0336273288726807,0.0117490768432617
"284",284,50,0.7,4,0.0348181772232056,0.0151402759552002
"285",285,50,0.7,5,0.0344151282310486,0.018166491985321
"286",286,50,0.8,1,0.0532688736915588,0.0089430832862854
"287",287,50,0.8,2,0.0513938665390015,0.0155221962928772
"288",288,50,0.8,3,0.0512510752677917,0.0237321782112122
"289",289,50,0.8,4,0.0519960498809814,0.0299803161621094
"290",290,50,0.8,5,0.0544387912750244,0.0357642436027527
"291",291,50,0.9,1,0.0871586680412293,0.0209187030792236
"292",292,50,0.9,2,0.0859786319732666,0.0397830367088318
"293",293,50,0.9,3,0.0889284086227417,0.0604378819465637
"294",294,50,0.9,4,0.0886002230644226,0.0754944634437561
"295",295,50,0.9,5,0.088551037311554,0.081848495006561
"296",296,50,1,1,0.254021642208099,0.206202087402344
"297",297,50,1,2,0.252596011161804,0.36599413394928
"298",298,50,1,3,0.240463678836823,0.485398771762848
"299",299,50,1,4,0.244980618953705,0.674437866210937
"300",300,50,1,5,0.236642143726349,0.795287013053894
"301",301,50,1.1,1,0.254729917049408,0.0882694482803345
"302",302,50,1.1,2,0.267471287250519,0.206494376659393
"303",303,50,1.1,3,0.256517128944397,0.324174175262451
"304",304,50,1.1,4,0.262782428264618,0.458450183868408
"305",305,50,1.1,5,0.257267122268677,0.574380555152893
"306",306,50,1.2,1,0.284903380870819,0.0910887503623962
"307",307,50,1.2,2,0.287646534442902,0.208652808666229
"308",308,50,1.2,3,0.292764399051666,0.328598651885986
"309",309,50,1.2,4,0.290948431491852,0.468224945068359
"310",310,50,1.2,5,0.293601880073547,0.666896135807037
"311",311,50,1.3,1,0.325075724124908,0.117584428787231
"312",312,50,1.3,2,0.335946381092072,0.257758467197418
"313",313,50,1.3,3,0.334271972179413,0.387172913551331
"314",314,50,1.3,4,0.335862276554108,0.57252872467041
"315",315,50,1.3,5,0.336735224723816,0.758522245883942
"316",316,50,1.4,1,0.397506573200226,0.147167422771454
"317",317,50,1.4,2,0.403942790031433,0.339083206653595
"318",318,50,1.4,3,0.412437543869019,0.535706641674042
"319",319,50,1.4,4,0.416481597423553,0.773352582454681
"320",320,50,1.4,5,0.413246593475342,0.96103529214859
"321",321,50,1.5,1,0.500997891426086,0.193184680938721
"322",322,50,1.5,2,0.509366827011108,0.423721227645874
"323",323,50,1.5,3,0.515450823307037,0.709582455158234
"324",324,50,1.5,4,0.522073657512665,1.03657897949219
"325",325,50,1.5,5,0.522337052822113,1.31101348638535
"326",326,50,1.6,1,0.647594933509827,0.271817736625671
"327",327,50,1.6,2,0.649480865001678,0.594023525714874
"328",328,50,1.6,3,0.65209924697876,0.980185492038727
"329",329,50,1.6,4,0.669285085201264,1.38683007478714
"330",330,50,1.6,5,0.685659551620482,1.92100122213364
"331",331,50,1.7,1,0.868330409526825,0.408025145530701
"332",332,50,1.7,2,0.894156708717346,0.923701803684235
"333",333,50,1.7,3,0.898473904132843,1.40299971103668
"334",334,50,1.7,4,0.910078706741333,1.86328381061554
"335",335,50,1.7,5,0.925546200275421,2.47371381998062
"336",336,50,1.8,1,1.22914653778076,0.597902483940124
"337",337,50,1.8,2,1.26808182477951,1.33522149562836
"338",338,50,1.8,3,1.25903285264969,2.11981279611588
"339",339,50,1.8,4,1.2725310754776,2.89472306966782
"340",340,50,1.8,5,1.26787336349487,3.79219841718674
"341",341,50,1.9,1,1.76165439367294,0.884197964668274
"342",342,50,1.9,2,1.76362998962402,1.9623534488678
"343",343,50,1.9,3,1.78102477312088,3.08843351364136
"344",344,50,1.9,4,1.68462955951691,4.09634117841721
"345",345,50,1.9,5,1.73265124797821,5.57888510942459
"346",346,50,2,1,2.41932050228119,1.31093899726868
"347",347,50,2,2,2.49223191738129,2.78010207653046
"348",348,50,2,3,2.43167666196823,4.45841159343719
"349",349,50,2,4,2.46276349782944,6.55941939115524
"350",350,50,2,5,2.39456648588181,7.85266087293625
